회사명|종목코드|업종|주요제품
모아데이타|288980|소프트웨어 개발 및 공급업|인공지능 기반 ICT 시스템 이상탐지 및 예측 솔루션
에스케이증권7호스팩|408920|금융 지원 서비스업|기업인수합병
노을|376930|의료용 기기 제조업|융복합 체외진단 플랫폼
비씨엔씨|146320|반도체 제조업|반도체용 합성쿼츠 포커스링
풍원정밀|371950|전자부품 제조업|OLED 증착용 Metal Mask
스톤브릿지벤처스|330730|기타 금융업|창업투자, 사모투자
하나금융21호스팩|406760|금융 지원 서비스업|기업인수합병
브이씨|365900|운동 및 경기용구 제조업|골프용 거리측정기
퓨런티어|370090|측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외|전장카메라모듈장비, 모바일카메라모듈장비, PC및 광원
바이오에프디엔씨|251120|기초 의약물질 및 생물학적 제제 제조업|식물세포 유래 유효물질 및 약리물질
한국제10호스팩|409570|금융 지원 서비스업|기업인수합병
IBKS제17호스팩|405350|금융 지원 서비스업|금융 지원 서비스
인카금융서비스|211050|보험 및 연금관련 서비스업|보험 판매
나래나노텍|137080|특수 목적용 기계 제조업|디스플레이 장비 (포토, 코팅, 모듈 장비)
아셈스|136410|플라스틱제품 제조업|핫멜트 접착 필름
스코넥|276040|소프트웨어 개발 및 공급업|XR 교육/훈련 시스템, VR 게임 콘텐츠 등
이지트로닉스|377330|전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업|전력변환장치
애드바이오텍|179530|의약품 제조업|동물용약품,영양제,단미사료(네오폐녹스),보조사료 제조,도매/식품첨가물,화장품 도소매,무역
케이옥션|102370|상품 중개업|미술품 경매 및 판매
디비금융스팩10호|404950|기타 금융업|인수목적
오토앤|353590|자동차 부품 및 내장품 판매업|자동차 지급품 및 애프터마켓 제품
래몽래인|200350|영화, 비디오물, 방송프로그램 제작 및 배급업|드라마 제작
하나금융20호스팩|400560|금융 지원 서비스업|금융지원 서비스업
엔에이치스팩22호|396770|금융 지원 서비스업|금융 지원 서비스
교보11호스팩|397880|금융 지원 서비스업|기업인수 및 합병
하이제7호스팩|400840|금융 지원 서비스업|기업인수합병
케이티비네트워크|298870|기타 금융업|창업투자금융, 벤처기업투자 등
툴젠|199800|자연과학 및 공학 연구개발업|유전자교정 플랫폼 관련 제품
대신밸런스제11호스팩|397500|금융 지원 서비스업|금융 지원 서비스업
마인즈랩|377480|소프트웨어 개발 및 공급업|종합 인공지능 엔진 및 플랫폼
알비더블유|361570|오디오물 출판 및 원판 녹음업|음반 및 음원 등(콘텐츠)
바이옵트로|222160|특수 목적용 기계 제조업|인쇄회로기판(PCB) 전기검사기
트윔|290090|소프트웨어 개발 및 공급업|AI 기반 스마트팩토리 검사 소프트웨어 및 설비
아이티아이즈|372800|소프트웨어 개발 및 공급업|디지털금융솔루션 제공 및 AI, Big Data 서비스, 클라우드 통합 플랫폼 (GURMWI)
지오엘리먼트|311320|전자부품 제조업|센서, 캐니스터
디어유|376300|소프트웨어 개발 및 공급업|모바일 어플리케이션(DearU bubble, Lysn)
비트나인|357880|소프트웨어 개발 및 공급업|그래프데이터베이스, 그래프분석서비스
지니너스|389030|자연과학 및 공학 연구개발업|NGS기반 조직생검 암유전체 동반진단(CancerSCAN), 액체생검 암유전체 동반진단(LiquidSCAN), 단일세포분석(Celinus) 등
피코그램|376180|그외 기타 제품 제조업|정수기, 정수기 필터
엔켐|348370|기초 화학물질 제조업|2차전지 전해액
리파인|377450|기타 정보 서비스업|권리조사
지앤비에스엔지니어링|382800|특수 목적용 기계 제조업|스크러버, 트랩, 백연제거장치 등
아이패밀리에스씨|114840|기타 화학제품 제조업|색조화장품 브랜드 `롬앤(Rom&nd)', IT기반 웨딩서비스 브랜드 `아이웨딩`
차백신연구소|261780|자연과학 및 공학 연구개발업|백신 및 면역증강제 등
지아이텍|382480|특수 목적용 기계 제조업|SLOT DIE, SLIT NOZZLE, REPAIR, 기타
엔에이치스팩21호|391710|금융 지원 서비스업|금융 지원 서비스(SPAC)
씨유테크|376290|전자부품 제조업|휴대폰, 전장 등 실장부품
아스플로|159010|일반 목적용 기계 제조업|강관, 피팅, 밸브류 등
원준|382840|특수 목적용 기계 제조업|2차전지용 열처리 장비
하나금융19호스팩|388220|금융 지원 서비스업|기업인수목적
엔에이치스팩20호|391060|금융 지원 서비스업|기업 인수합병
실리콘투|257720|상품 종합 도매업|화장품 유통
에스앤디|260970|기타 식품 제조업|일반기능식품소재, 건강기능식품소재
프롬바이오|377220|기타 식품 제조업|개별인정형 건강기능식품
바이오플러스|099430|기초 의약물질 및 생물학적 제제 제조업|생체재료 개질 기술을 사용한 히알루론산(HA) 기반 더말필러, 유착방지제 및 그 응용제품
신한제8호스팩|393360|금융 지원 서비스업|SPAC합병
대신밸런스제10호스팩|387310|금융 지원 서비스업|금융 지원 서비스업
유진스팩7호|388800|금융 지원 서비스업|합병
와이엠텍|273640|전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업|계전기(EV Relay)
에이비온|203400|자연과학 및 공학 연구개발업|표적 항암제, 바이오 베터 신약
IBKS제16호스팩|388790|금융 지원 서비스업|금융 지원 서비스
바이젠셀|308080|자연과학 및 공학 연구개발업|면역세포치료제 (면역항암제, 면역조절치료제 등)
브레인즈컴퍼니|099390|소프트웨어 개발 및 공급업|IT 인프라 통합관리 솔루션
딥노이드|315640|소프트웨어 개발 및 공급업|의료 인공지능플랫폼, 인공지능 임상의사결정 시스템
엠로|058970|소프트웨어 개발 및 공급업|SCM구축 및 용역, 라이선스, 기술료, 클라우드사용료
플래티어|367000|소프트웨어 개발 및 공급업|E-Commerce Platform 구축
원티드랩|376980|소프트웨어 개발 및 공급업|채용 플랫폼
HK이노엔|195940|의약품 제조업|전문의약품, 숙취해소음료
한화플러스제2호스팩|386580|금융 지원 서비스업|-
에브리봇|270660|가정용 기기 제조업|물걸레 로봇청소기, 흡입형 로봇청소기
맥스트|377030|소프트웨어 개발 및 공급업|AR 개발 플랫폼/AR솔루션
큐라클|365270|자연과학 및 공학 연구개발업|혈관질환치료제 등
오비고|352910|컴퓨터 프로그래밍, 시스템 통합 및 관리업|스마트카 소프트웨어 플랫폼
아모센스|357580|전자부품 제조업|무선충전 차폐시트
이노뎁|303530|소프트웨어 개발 및 공급업|영상인식 및 데이터플랫폼 솔루션
라온테크|232680|특수 목적용 기계 제조업|반도체 및 FPD용 로봇시스템
삼성머스트스팩5호|380320|금융 지원 서비스업|기업인수합병
엘비루셈|376190|반도체 제조업|디스플레이 구동 반도체(Driver IC)
에이디엠코리아|187660|자연과학 및 공학 연구개발업|임상 CRO 서비스
에코프로에이치엔|383310|기타 화학제품 제조업|환경오염 방지 관련 소재 및 설비
제주맥주|276730|알코올음료 제조업|맥주
진시스템|363250|의료용 기기 제조업|분자진단기반 플랫폼 개발 및 제조·판매
삼성스팩4호|377630|금융 지원 서비스업|기업인수합병
삼영에스앤씨|361670|전자부품 제조업|칩형 온습도센서,상대습도센서,미세먼지센서, 공기질 통합센서 노드 및 트랜스미터
샘씨엔에스|252990|전자부품 제조업|세라믹 STF(다층 세라믹 기판)
씨앤씨인터내셔널|352480|기타 화학제품 제조업|색조 화장품
에이치피오|357230|기타 식품 제조업|건강기능식품(유산균, 비타민 등)
하이제6호스팩|377400|금융 지원 서비스업|기업인수합병
쿠콘|294570|기타 정보 서비스업|페이먼트서비스(65.2%), 데이터서비스(29.1%) 등
이삭엔지니어링|351330|컴퓨터 프로그래밍, 시스템 통합 및 관리업|공장자동화 설비제어
해성티피씨|059270|기타 금속 가공제품 제조업|기어 및 동력전달장치
유진스팩6호|373340|금융 지원 서비스업|합병
유안타제8호스팩|367480|금융 지원 서비스업|금융지원 서비스
엔시스|333620|기타 전기장비 제조업|2차전지 머신비전 검사장비
자이언트스텝|289220|영화, 비디오물, 방송프로그램 제작 및 배급업|광고VFX, 영상VFX 및 리얼타임 콘텐츠 제작
제노코|361390|통신 및 방송 장비 제조업|위성탑재체, 위성운용국, 항공전자 등
라이프시맨틱스|347700|소프트웨어 개발 및 공급업|소프트웨어(개인건강기록 플랫폼,진료기록번역플랫폼,질병분류기호 검색) 개발,공급/의료기기 도매/자문,컨설팅/전자상거래,통신판매
바이오다인|314930|의료용 기기 제조업|액상세포검사 장비 및 소모품
DB금융스팩9호|367360|금융 지원 서비스업|기업인수 및 합병
네오이뮨텍|950220|자연과학 및 공학 연구개발업|면역항암제
싸이버원|356890|소프트웨어 개발 및 공급업|보안관제 및 보안컨설팅 등
프레스티지바이오로직스|334970|의약품 제조업|바이오시밀러 제조
나노씨엠에스|247660|전자부품 제조업|근적외선 흡수/반사 안료, 자외선 유기형광 안료, 적외선 발광체
하나머스트7호스팩|372290|금융 지원 서비스업|기업인수목적
뷰노|338220|자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업|뷰노메드 음성솔루션, 뷰노메드 영상솔루션, 기타 솔루션 등
하인크코리아|373200|그외 기타 제품 제조업|모바일 IT응용제품 외
유일에너테크|340930|특수 목적용 기계 제조업|2차전지 제조장비
씨이랩|189330|소프트웨어 개발 및 공급업|빅데이터플랫폼
오로스테크놀로지|322310|특수 목적용 기계 제조업|반도체 Overlay 계측 장비
피엔에이치테크|239890|기초 화학물질 제조업|OLED 소재
하나금융17호스팩|363260|금융 지원 서비스업|기업인수합병
아이퀘스트|262840|소프트웨어 개발 및 공급업|패키지 ERP, 구축형 ERP 등
신한제7호스팩|366330|금융 지원 서비스업|SPAC
레인보우로보틱스|277810|특수 목적용 기계 제조업|협동로봇, 천문마운트시스템, 이족보행로봇 등
와이더플래닛|321820|소프트웨어 개발 및 공급업|빅데이터/인공지능 마케팅플랫폼 및 데이터플랫폼
핑거|163730|소프트웨어 개발 및 공급업|스마트 금융 플랫폼, 핀테크 금융 솔루션
모비릭스|348030|소프트웨어 개발 및 공급업|모바일 게임 개발 및 퍼블리싱
씨앤투스성진|352700|기타 섬유제품 제조업|에어필터, 산업용 및 보건용 마스크
선진뷰티사이언스|086710|기타 화학제품 제조업|화장품 원료
엔비티|236810|광고업|모바일 포인트 광고 플랫폼
한국9호스팩|368770|금융 지원 서비스업|기타 금융업
유안타제7호스팩|367460|금융 지원 서비스업|금융지원 서비스
블리츠웨이|369370|인형,장난감 및 오락용품 제조업|기업 인수 및 합병
석경에이티|357550|기초 화학물질 제조업|바이오 및 전기전자 나노 소재
지놈앤컴퍼니|314130|기초 의약물질 및 생물학적 제제 제조업|마이크로바이옴 기반 치료제, 화장품, 건강기능식품
프리시젼바이오|335810|의료용 기기 제조업|체외진단 기기 및 시약
알체라|347860|소프트웨어 개발 및 공급업|얼굴인식 AI, 이상상황 감지 AI 등
엔에이치스팩18호|365590|금융 지원 서비스업|기타 금융지원(SPAC)
에프앤가이드|064850|기타 정보 서비스업|금융정보서비스, INDEX, 펀드평가 등
에이치엠씨제5호스팩|353060|금융 지원 서비스업|합병을 유일한 사업목적으로 함
티엘비|356860|전자부품 제조업|SSD Module / DRAM Module PCB
인바이오|352940|비료, 농약 및 살균, 살충제 제조업|살균제, 살충제, 제초제 등
엔젠바이오|354200|그외 기타 전문, 과학 및 기술 서비스업|유전체 분야 진단시약 제조 및 유전체 분야 소프트웨어 연구,개발,판매
DB금융스팩8호|367340|기타 금융업|기업인수 및 합병
퀀타매트릭스|317690|의료용 기기 제조업|신속항균제검사 장비 및 키트
클리노믹스|352770|의료용품 및 기타 의약 관련제품 제조업|Geno Series, CD-PRIME, Cancer Prime
포인트모바일|318020|컴퓨터 및 주변장치 제조업|산업용 PDA
앱코|129890|컴퓨터 및 주변장치 제조업|게이밍기어, 뉴라이프가전 등
엔에프씨|265740|기타 화학제품 제조업|화장품 원료 제조 및 판매
제일전기공업|199820|전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업|PCB Assay, 배선기구, 분전반 등
하나기술|299030|특수 목적용 기계 제조업|이차전지 양산 자동화 설비 제조
티앤엘|340570|의료용품 및 기타 의약 관련제품 제조업|창상치료재, 정형외과용 고정재
고바이오랩|348150|자연과학 및 공학 연구개발업|마이크로바이옴 치료제 및 건강기능식품
네패스아크|330860|그외 기타 전문, 과학 및 기술 서비스업|반도체 테스트 서비스
소룩스|290690|전구 및 조명장치 제조업|실내등(형광등, LED등), 실외등, 특수등
위드텍|348350|측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외|AMCs 모니터링 시스템, 공정 프로세스 모니터링 시스템, TMS
센코|347000|전자부품 제조업|가스센서 및 모듈, 휴대용 및 고정형 가스검지기, 악취 & 미세먼지 모니터링 시스템
바이브컴퍼니|301300|소프트웨어 개발 및 공급업|소셜 빅데이터 기반 인공지능 서비스 (소셜메트릭스), 문제 해결 솔루션 (AI Solver)
미코바이오메드|214610|의료용 기기 제조업|체외진단용 의료기기
피플바이오|304840|의료용품 및 기타 의약 관련제품 제조업|올리고머화 베타-아밀로이드 검사제품(알츠하이머병 진단)
넥스틴|348210|특수 목적용 기계 제조업|반도체 전공정용 패턴결함 검사장비(AEGIS 등)
원방테크|053080|일반 목적용 기계 제조업|클린룸 설비
비나텍|126340|일차전지 및 축전지 제조업|초고용량 커패시터(슈퍼커패시터)
씨엔알리서치|359090|그외 기타 전문, 과학 및 기술 서비스업|금융 지원 서비스
박셀바이오|323990|자연과학 및 공학 연구개발업|항암면역세포치료제(자연살해세포, 수지상세포, CAR-T 및 인터루킨 기반 항암제)
비비씨|318410|그외 기타 제품 제조업|덴탈 케어용 소재(테이퍼모 등)
교보10호기업인수목적|355150|기타 금융업|기업 인수 및 합병
핌스|347770|전자부품 제조업|OLED Metal Mask
압타머사이언스|291650|자연과학 및 공학 연구개발업|압타머기반 신약개발 및 진단제품 개발
이오플로우|294090|의료용 기기 제조업|웨어러블 인슐린펌프
카카오게임즈|293490|소프트웨어 개발 및 공급업|모바일, PC게임 퍼블리싱
피엔케이피부임상연구센타|347740|그외 기타 전문, 과학 및 기술 서비스업|피부인체적용시험
미래에셋대우스팩 5호|353490|금융 지원 서비스업|금융 지원 서비스업
아이디피|332370|컴퓨터 및 주변장치 제조업|카드인쇄용 프린터, 카드인쇄용 리본
셀레믹스|331920|기초 의약물질 및 생물학적 제제 제조업|타겟캡처키트
미투젠|950190|소프트웨어 개발 및 공급업|캐주얼게임, 소셜카지노게임
브랜드엑스코퍼레이션|337930|기타 정보 서비스업|애슬레저의류, 생활/청결 용품
영림원소프트랩|060850|소프트웨어 개발 및 공급업|ERP Package, 유지 관리 등
한국파마|032300|의약품 제조업|완제의약품(정신신경계, 소화기계, 순환기계, 항생항균, 기타)
솔브레인|357780|기타 화학제품 제조업|반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등
이루다|164060|의료용 기기 제조업|레이저 및 고주파 의료기기
와이팜|332570|전자부품 제조업|전력증폭기 모듈(PAM)
이엔드디|101360|기타 화학제품 제조업|배출가스 저감용 촉매 및 이차전지 양극활물질 전구체
에이치엠씨제4호스팩|353070|금융 지원 서비스업|기업인수합병
엠투아이|347890|측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외|스마트HMI, 스마트SCADA, 스마트팩토리솔루션
더네이쳐홀딩스|298540|의복 액세서리 제조업|의류, 여행용 가방 및 잡화류
제놀루션|225220|기초 의약물질 및 생물학적 제제 제조업|핵산추출기기 및 시약, RNAi 사업 등
솔트룩스|304100|소프트웨어 개발 및 공급업|인공지능 및 빅데이터 소프트웨어
하나금융16호스팩|343510|금융 지원 서비스업|기업인수합병
티에스아이|277880|특수 목적용 기계 제조업|2차전지 장비(믹싱시스템, 믹싱제작품, 믹싱 공사, 코터건조시스템)
에이프로|262260|기타 전기장비 제조업|2차전지 장비 등(일반충방전기, 고온가압 충방전기 등)
IBKS제13호스팩|351340|금융 지원 서비스업|기업인수 및 합병
소마젠|950200|그외 기타 전문, 과학 및 기술 서비스업|유전체 분석 서비스 (NGS, CES 등)
신도기연|290520|특수 목적용 기계 제조업|OLED용 후공정장비(라미네이터, 오토클레이브 등)
위더스제약|330350|의약품 제조업|의약품 제조 및 도소매(순환기용제 등)
엠브레인|169330|시장조사 및 여론조사업|온라인 및 오프라인 리서치
젠큐릭스|229000|의료용품 및 기타 의약 관련제품 제조업|유방암 예후진단 및 폐암/대장암 동반진단 제품/검사서비스
HB솔루션|297890|특수 목적용 기계 제조업|디스플레이 제조용 장비(도포기, 조립기, 검사기)
에스에이티이엔지|351320|특수 목적용 기계 제조업|기업인수목적회사
에스씨엠생명과학|298060|의약품 제조업|세포치료제
휴럼|353190|기타 식품 제조업|금융지원 서비스
이지바이오|353810|동물용 사료 및 조제식품 제조업|자돈사료, 사료첨가제
드림씨아이에스|223250|자연과학 및 공학 연구개발업|시판후조사대행(rPMS)
이베스트스팩5호|349720|금융 지원 서비스업|해당없음
케이프이에스제4호|347140|기타 금융업|기타금융지원서비스업
엔피디|198080|전자부품 제조업|스마트폰 OLED용 FPCA
플레이디|237820|광고업|온라인 광고 대행
SK6호스팩|340350|금융 지원 서비스업|
서울바이오시스|092190|반도체 제조업|Visible LED, UV LED
제이앤티씨|204270|전자부품 제조업|강화유리, 커넥터
켄코아에어로스페이스|274090|항공기,우주선 및 부품 제조업|항공가공품 및 조립품
레몬|294140|화학섬유 제조업|EMI Shield Can, 나노멤브레인 등
서남|294630|기타 전기장비 제조업|고온초전도선재
신영스팩6호|344050|금융 지원 서비스업|기업인수
위세아이텍|065370|소프트웨어 개발 및 공급업|빅데이터분석, 인공지능, 데이터품질관리 솔루션
케이비제20호스팩|342550|금융 지원 서비스업|금융지원서비스
하나금융15호스팩|341160|금융 지원 서비스업|기업인수합병
세림B&G|340440|플라스틱제품 제조업|기업인수
CJ 바이오사이언스|311690|자연과학 및 공학 연구개발업|생명정보 플랫폼, 마이크로바이옴 분석 서비스
피피아이|062970|통신 및 방송 장비 제조업|데이터센터용 AWG, 통신용 AWG, 스플리터, 계측기 등
RF머트리얼즈|327260|전자부품 제조업|광통신, RF통신용 패키지
아이비김영|339950|일반 교습 학원|오프라인 학원, 온라인강의
하이제5호스팩|340120|금융 지원 서비스업|기업인수합병
